"Ux","Uy","Cp","Points:0","Points:1","Points:2"
1.0033,-0.004435,-0.00671,0.95,0.96709,0
1.0021,-0.002522,-0.004202,0.95,1.2651,0
1.001,-0.001516,-0.002,0.95,1.6376,0
1,0,0,0.95,2.1033,0
0.89456,-0.125,0.18414,1,-0.025,0
0.94456,-0.09516,0.09875,1,0.025,0
0.97311,-0.057919,0.049711,1,0.0875,0
0.98888,-0.03945,0.020564,1,0.16563,0
0.99745,-0.027675,0.004334,1,0.26328,0
1.0018,-0.019007,-0.003875,1,0.38535,0
1.0034,-0.01249,-0.007005,1,0.53794,0
1.0035,-0.007791,-0.00709,1,0.72867,0
1.0028,-0.00463,-0.005648,1,0.96709,0
1.0019,-0.002682,-0.003714,1,1.2651,0
1.0009,-0.001635,-0.001816,1,1.6376,0
1,0,0,1,2.1033,0
0.89529,0,0.19846,1.0625,-0.025,0
0.93973,-0.015237,0.11667,1.0625,0.025,0
0.9665,-0.029382,0.065007,1.0625,0.0875,0
0.98299,-0.028562,0.032913,1.0625,0.16563,0
0.99301,-0.023274,0.013395,1.0625,0.26328,0
0.99871,-0.017317,0.002286,1.0625,0.38535,0
1.0015,-0.012003,-0.003116,1.0625,0.53794,0
1.0024,-0.007795,-0.004829,1.0625,0.72867,0
1.0022,-0.004782,-0.004449,1.0625,0.96709,0
1.0016,-0.002841,-0.003143,1.0625,1.2651,0
1.0008,-0.001765,-0.001596,1.0625,1.6376,0
1,0,0,1.0625,2.1033,0
0.96457,0,0.069603,1.1406,-0.025,0
0.96457,-0.006143,0.069565,1.1406,0.025,0
0.97258,-0.014663,0.053882,1.1406,0.0875,0
0.98216,-0.018247,0.03502,1.1406,0.16563,0
0.99032,-0.017618,0.018946,1.1406,0.26328,0
0.99609,-0.014666,0.007581,1.1406,0.38535,0
0.99953,-0.010985,0.000819,1.1406,0.53794,0
1.0011,-0.007553,-0.002306,1.1406,0.72867,0
1.0015,-0.004844,-0.003017,1.1406,0.96709,0
1.0012,-0.002978,-0.002428,1.1406,1.2651,0
1.0007,-0.001897,-0.001311,1.1406,1.6376,0
1,0,0,1.1406,2.1033,0
0.97758,0,0.044333,1.2383,-0.025,0
0.97758,-0.00273,0.044325,1.2383,0.025,0
0.98005,-0.00739,0.03945,1.2383,0.0875,0
0.98453,-0.010813,0.030589,1.2383,0.16563,0
0.98973,-0.01213,0.020293,1.2383,0.26328,0
0.9944,-0.011426,0.011033,1.2383,0.38535,0
0.99783,-0.009428,0.004254,1.2383,0.53794,0
0.99984,-0.006989,0.000268,1.2383,0.72867,0
1.0007,-0.004754,-0.001404,1.2383,0.96709,0
1.0008,-0.003062,-0.001566,1.2383,1.2651,0
1.0005,-0.002018,-0.000953,1.2383,1.6376,0
1,0,0,1.2383,2.1033,0
0.98509,0,0.029605,1.3604,-0.025,0
0.98509,-0.001326,0.029604,1.3604,0.025,0
0.98593,-0.003812,0.027936,1.3604,0.0875,0
0.98784,-0.006149,0.024134,1.3604,0.16563,0
0.99065,-0.007742,0.018547,1.3604,0.26328,0
0.9938,-0.008188,0.012284,1.3604,0.38535,0
0.99664,-0.007504,0.006655,1.3604,0.53794,0
0.9987,-0.006087,0.00257,1.3604,0.72867,0
0.99986,-0.00446,0.000263,1.3604,0.96709,0
1.0003,-0.003049,-0.000587,1.3604,1.2651,0
1.0003,-0.002101,-0.000521,1.3604,1.6376,0
1,0,0,1.3604,2.1033,0
0.98975,0,0.020389,1.5129,-0.025,0
0.98975,-0.000681,0.020388,1.5129,0.025,0
0.99007,-0.002011,0.019757,1.5129,0.0875,0
0.99088,-0.003427,0.018156,1.5129,0.16563,0
0.99225,-0.004674,0.015413,1.5129,0.26328,0
0.9941,-0.00544,0.011745,1.5129,0.38535,0
0.99609,-0.005516,0.007773,1.5129,0.53794,0
0.99785,-0.004928,0.00427,1.5129,0.72867,0
0.9991,-0.003939,0.001784,1.5129,0.96709,0
0.99978,-0.002898,0.000433,1.5129,1.2651,0
1,-0.002113,-3.2e-05,1.5129,1.6376,0
1,0,0,1.5129,2.1033,0
0.99278,0,0.014383,1.7037,-0.025,0
0.99278,-0.000359,0.014383,1.7037,0.025,0
0.99291,-0.001074,0.014126,1.7037,0.0875,0
0.99325,-0.001887,0.013443,1.7037,0.16563,0
0.9939,-0.00271,0.012162,1.7037,0.26328,0
0.99487,-0.00339,0.010219,1.7037,0.38535,0
0.9961,-0.003749,0.007764,1.7037,0.53794,0
0.9974,-0.00368,0.005184,1.7037,0.72867,0
0.99852,-0.003226,0.002948,1.7037,0.96709,0
0.99931,-0.002581,0.001369,1.7037,1.2651,0
0.99976,-0.002011,0.000468,1.7037,1.6376,0
1,0,0,1.7037,2.1033,0
0.99478,0,0.010414,1.9421,-0.025,0
0.99478,-0.000189,0.010414,1.9421,0.025,0
0.99483,-0.000571,0.010304,1.9421,0.0875,0
0.99498,-0.001021,0.010005,1.9421,0.16563,0
0.99528,-0.001514,0.009415,1.9421,0.26328,0
0.99577,-0.001992,0.008442,1.9421,0.38535,0
0.99646,-0.002358,0.007059,1.9421,0.53794,0
0.99731,-0.002512,0.005373,1.9421,0.72867,0
0.99818,-0.002407,0.003625,1.9421,0.96709,0
0.99895,-0.002102,0.002089,1.9421,1.2651,0
0.99954,-0.00176,0.000912,1.9421,1.6376,0
1,0,0,1.9421,2.1033,0
0.99608,0,0.007833,2.2401,-0.025,0
0.99608,-9.6e-05,0.007833,2.2401,0.025,0
0.9961,-0.000292,0.007783,2.2401,0.0875,0
0.99617,-0.000527,0.007646,2.2401,0.16563,0
0.99631,-0.000797,0.007367,2.2401,0.26328,0
0.99655,-0.001082,0.006881,2.2401,0.38535,0
0.99693,-0.001345,0.00613,2.2401,0.53794,0
0.99745,-0.001528,0.005097,2.2401,0.72867,0
0.99807,-0.00158,0.003846,2.2401,0.96709,0
0.99874,-0.001493,0.002515,2.2401,1.2651,0
0.99938,-0.001341,0.001235,2.2401,1.6376,0
1,0,0,2.2401,2.1033,0
0.99684,0,0.006311,2.6126,-0.025,0
0.99684,-4.1e-05,0.006311,2.6126,0.025,0
0.99685,-0.000124,0.006285,2.6126,0.0875,0
0.99689,-0.000225,0.006213,2.6126,0.16563,0
0.99696,-0.000345,0.006065,2.6126,0.26328,0
0.9971,-0.000477,0.005797,2.6126,0.38535,0
0.99732,-0.000611,0.005357,2.6126,0.53794,0
0.99765,-0.000724,0.004697,2.6126,0.72867,0
0.9981,-0.000791,0.003796,2.6126,0.96709,0
0.99866,-0.000794,0.002679,2.6126,1.2651,0
0.99929,-0.000753,0.00141,2.6126,1.6376,0
1,0,0,2.6126,2.1033,0
1,0,0,3.0783,-0.025,0
1,0,0,3.0783,0.025,0
1,0,0,3.0783,0.0875,0
1,0,0,3.0783,0.16563,0
1,0,0,3.0783,0.26328,0
1,0,0,3.0783,0.38535,0
1,0,0,3.0783,0.53794,0
1,0,0,3.0783,0.72867,0
1,0,0,3.0783,0.96709,0
1,0,0,3.0783,1.2651,0
1,0,0,3.0783,1.6376,0
1,0,0,3.0783,2.1033,0
